	taxid	taxid2	species_taxid	refseq	uniprot	ftp
26	667725	667725	72019	GCF_001186125.1	UP000054560	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/186/125/GCF_001186125.1_Spha_arctica_JP610_V1
27	280699	280699	45157	GCF_000091205.1	UP000007014	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/205/GCF_000091205.1_ASM9120v1
28	1448321	1448321	51019	GCF_003184545.1	UP000247233	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/545/GCF_003184545.1_Asphet1
29	671144	671144	1708541	GCF_000263375.1	UP000005242	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/263/375/GCF_000263375.1_Wallemia_sebi_v1.0
30	984486	984486	45609	GCF_001661335.1	UP000094336	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/335/GCF_001661335.1_Babin1
31	5762	744533	5762	GCF_000004985.1	UP000006671	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/985/GCF_000004985.1_V1.0
32	7425	7425	7425	GCF_000002325.3	UP000002358	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/325/GCF_000002325.3_Nvit_2.1
33	7176	7176	7176	GCF_000209185.1	UP000002320	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/185/GCF_000209185.1_CulPip1.0
34	983964	983964	5544	GCF_003025095.1	UP000241690	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/025/095/GCF_003025095.1_Triha_v1.0
35	9685	9685	9685	GCF_000181335.3	UP000011712	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/335/GCF_000181335.3_Felis_catus_9.0
36	9031	9031	9031	GCF_000002315.5	UP000000539	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/315/GCF_000002315.5_GRCg6a
37	1367422	1367422	1367422	GCF_001651985.1	UP000078343	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/651/985/GCF_001651985.1_ASM165198v1
38	7217	7217	7217	GCF_000005115.1	UP000007801	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/115/GCF_000005115.1_dana_caf1
39	1043005	1043005	1042127	GCF_000721755.1	UP000030641	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/721/755/GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0
40	9823	9823	9823	GCF_000003025.6	UP000008227	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/025/GCF_000003025.6_Sscrofa11.1
41	471704	471704	471704	GCF_001594075.1	UP000078492	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/075/GCF_001594075.1_Tcor1.0
42	1182543	1182543	1182553	GCF_000585535.1	UP000019471	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/535/GCF_000585535.1_Clad_psam_CBS_110553_V1
43	1071381	1071381	113608	GCF_000236905.1	UP000005666	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/905/GCF_000236905.1_ASM23690v1
44	85681	85681	85681	GCF_000493195.1	UP000030687	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/493/195/GCF_000493195.1_Citrus_clementina_v1.0
45	27334	27334	27334	GCF_000769745.1	UP000030143	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/745/GCF_000769745.1_ASM76974v1
46	1392250	1392250	306088	GCF_002849105.1	UP000234275	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/849/105/GCF_002849105.1_Aspste1
47	554065	554065	554065	GCF_000147415.1	UP000008141	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/415/GCF_000147415.1_v_1.0
48	3880	3880	3880	GCF_000219495.3	UP000002051	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/495/GCF_000219495.3_MedtrA17_4.0
49	747525	747525	984962	GCF_000320585.1	UP000030671	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/320/585/GCF_000320585.1_Heterobasidion_irregulare_v2.0
50	2769	2769	2769	GCF_000350225.1	UP000012073	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/225/GCF_000350225.1_ASM35022v2
51	32264	32264	32264	GCF_000239435.1	UP000015104	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/435/GCF_000239435.1_ASM23943v1
52	48698	48698	48698	GCF_000485575.1	UP000028760	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/485/575/GCF_000485575.1_Poecilia_formosa-5.1.2
53	37653	37653	37653	GCF_001194135.1	UP000053454	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/194/135/GCF_001194135.1_Octopus_bimaculoides_v2_0
54	1296100	1296100	324769	GCF_000512585.1	UP000092730	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/585/GCF_000512585.1_Cryp_best_CBS10118_V1
55	559305	559305	5551	GCF_000151425.1	UP000008864	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/425/GCF_000151425.1_ASM15142v1
56	7244	7244	7244	GCF_000005245.1	UP000008792	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/245/GCF_000005245.1_dvir_caf1
57	64571	64571	64571	GCF_002105155.1	UP000193648	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/105/155/GCF_002105155.1_Lobtra1
58	246410	246410	5501	GCF_000149335.2	UP000001261	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/335/GCF_000149335.2_ASM14933v2
59	6238	6238	6238	GCF_000004555.1	UP000008549	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/555/GCF_000004555.1_ASM455v1
60	3988	3988	3988	GCF_000151685.1	UP000008311	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/685/GCF_000151685.1_JCVI_RCG_1.1
61	5599	5599	5599	GCF_001642055.1	UP000077248	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/642/055/GCF_001642055.1_Altal1
62	9713	9713	9713	GCF_000349705.1	UP000245341	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/705/GCF_000349705.1_LepWed1.0
63	1380566	1380566	280754	GCF_001653235.2	UP000078397	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/235/GCF_001653235.2_ASM165323v2
64	225164	225164	225164	GCF_000327385.1	UP000030746	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/327/385/GCF_000327385.1_Helro1
65	559292	559292	4932	GCF_000146045.2	UP000002311	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/045/GCF_000146045.2_R64
66	4155	4155	4155	GCF_000504015.1	UP000030748	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/504/015/GCF_000504015.1_Mimgu1_0
67	717646	717646	1709381	GCF_000338955.1	UP000011761	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/338/955/GCF_000338955.1_Bauco1
68	334819	334819	117187	GCF_000149555.1	UP000009096	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/555/GCF_000149555.1_ASM14955v1
69	1448315	1448315	446911	GCF_003184745.1	UP000248340	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/745/GCF_003184745.1_Aspuva1
70	9402	9402	9402	GCF_000325575.1	UP000010552	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/325/575/GCF_000325575.1_ASM32557v1
71	9598	9598	9598	GCF_002880755.1	UP000002277	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/880/755/GCF_002880755.1_Clint_PTRv2
72	9555	9555	9555	GCF_000264685.3	UP000028761	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/264/685/GCF_000264685.3_Panu_3.0
73	655844	655844	568076	GCF_000187425.2	UP000002498	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/425/GCF_000187425.2_MAA_2.0
74	50429	50429	50429	GCF_002571385.1	UP000225706	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/571/385/GCF_002571385.1_Stylophora_pistillata_v1
75	9258	9258	9258	GCF_000002275.2	UP000002279	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/275/GCF_000002275.2_Ornithorhynchus_anatinus_5.0.1
76	578455	578455	35720	GCF_000226115.1	UP000008181	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/115/GCF_000226115.1_ASM22611v1
77	30025	30025	30025	GCF_000220665.1	UP000192221	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/665/GCF_000220665.1_Dfic_2.0
78	3656	3656	3656	GCF_000313045.1	UP000089565	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/045/GCF_000313045.1_ASM31304v1
79	3659	3659	3659	GCF_000004075.2	UP000029981	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/075/GCF_000004075.2_ASM407v2
80	7234	7234	7234	GCF_003286085.1	UP000008744	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/286/085/GCF_003286085.1_DperRS2
81	81972	81972	59689	GCF_000004255.2	UP000008694	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/255/GCF_000004255.2_v.1.0
82	13333	13333	13333	GCF_000471905.2	UP000017836	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/471/905/GCF_000471905.2_AMTR1.0
83	1182545	1182545	1033840	GCF_000709125.1	UP000027920	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/709/125/GCF_000709125.1_Exop_aqua_CBS_119918_V1
84	7227	7227	7227	GCF_000001215.4	UP000000803	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT
85	502780	502780	121759	GCF_000150735.1	UP000001628	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/735/GCF_000150735.1_Paracocci_br_Pb18_V2
86	885580	885580	885580	GCF_000743615.1	UP000028990	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/615/GCF_000743615.1_DMR_v1.0
87	5286	1130832	5286	GCF_000320785.1	UP000199069	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/320/785/GCF_000320785.1_RHOziaDV1.0
88	61853	61853	61853	GCF_000146795.2	UP000001073	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/795/GCF_000146795.2_Nleu_3.0
89	91928	91928	91928	GCF_000836115.1	UP000053328	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/115/GCF_000836115.1_Exop_spin_CBS89968_V1
90	1279085	1279085	5127	GCF_900079805.1	UP000016800	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/079/805/GCF_900079805.1_Fusarium_fujikuroi_IMI58289_V2
91	9568	9568	9568	GCF_000951045.1	UP000233140	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/951/045/GCF_000951045.1_Mleu.le_1.0
92	29730	29730	29730	GCF_000327365.1	UP000032304	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/327/365/GCF_000327365.1_Graimondii2_0
93	857342	857342	5101	GCF_003019875.1	UP000241818	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/875/GCF_003019875.1_Amore1
94	1081104	1081104	114497	GCF_001636725.1	UP000076744	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/636/725/GCF_001636725.1_ISF_1.0
95	353153	353153	5693	GCF_000209065.1	UP000002296	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/065/GCF_000209065.1_ASM20906v1
96	1835702	1835702	1835702	GCF_001773325.1	UP000177622	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/773/325/GCF_001773325.1_ASM177332v1
97	425265	425265	76773	GCF_000181695.1	UP000008837	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/695/GCF_000181695.1_ASM18169v1
98	1509407	1509407	41061	GCF_001204775.1	UP000037505	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/204/775/GCF_001204775.1_ASM120477v1
99	985895	985895	5022	GCF_000230375.1	UP000002668	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/375/GCF_000230375.1_ASM23037v1
100	6239	6239	6239	GCF_000002985.6	UP000001940	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235
101	10029	10029	10029	GCF_000223135.1	UP000001075	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/135/GCF_000223135.1_CriGri_1.0
102	573729	573729	78579	GCF_000226095.1	UP000007322	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/095/GCF_000226095.1_ASM22609v1
103	44689	352472	44689	GCF_000004695.1	UP000002195	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/695/GCF_000004695.1_dicty_2.7
104	8364	8364	8364	GCF_000004195.3	UP000008143	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/195/GCF_000004195.3_Xenopus_tropicalis_v9.1
105	29159	29159	29159	GCF_000297895.1	UP000005408	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/297/895/GCF_000297895.1_oyster_v9
106	3075	3075	3075	GCF_000733215.1	UP000028924	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/733/215/GCF_000733215.1_ASM73321v1
107	1245769	1245769	1245769	GCF_000938715.1	UP000054304	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/938/715/GCF_000938715.1_LALA0
108	127582	127582	9778	GCF_000243295.1	UP000248480	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/295/GCF_000243295.1_TriManLat1.0
109	109264	109264	109264	GCF_001792695.1	UP000179179	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/792/695/GCF_001792695.1_ASM179269v1
110	8355	8355	8355	GCF_001663975.1	UP000186698	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/975/GCF_001663975.1_Xenopus_laevis_v2
111	764103	764103	34349	GCF_000708205.1	UP000009131	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/708/205/GCF_000708205.1_Mixia_osmundae_v1.0
112	691883	691883	691883	GCF_000388065.1	UP000030693	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/388/065/GCF_000388065.1_Font_alba_ATCC_38817_V2
113	180498	180498	180498	GCF_000696525.1	UP000027138	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/525/GCF_000696525.1_JatCur_1.0
114	31234	31234	31234	GCF_000149515.1	UP000008281	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/515/GCF_000149515.1_ASM14951v1
115	431241	431241	51453	GCF_000167675.1	UP000008984	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/167/675/GCF_000167675.1_v2.0
116	284592	284592	4959	GCF_000006445.2	UP000000599	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/445/GCF_000006445.2_ASM644v2
117	85066	85066	85066	GCF_000691975.1	UP000052976	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/691/975/GCF_000691975.1_ASM69197v1
118	3702	3702	3702	GCF_000001735.4	UP000006548	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/735/GCF_000001735.4_TAIR10.1
119	33203	33203	33203	GCF_001653265.1	UP000078340	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/265/GCF_001653265.1_ASM165326v1
120	45351	45351	45351	GCF_000209225.1	UP000001593	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/225/GCF_000209225.1_ASM20922v1
121	946362	946362	946362	GCF_000188695.1	UP000007799	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/695/GCF_000188695.1_Proterospongia_sp_ATCC50818
122	34506	34506	34506	GCF_001040885.1	UP000035682	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/040/885/GCF_001040885.1_S_ratti_ED321
123	5875	333668	5875	GCF_000165365.1	UP000001949	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/365/GCF_000165365.1_ASM16536v1
124	9483	9483	9483	GCF_000004665.1	UP000008225	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/665/GCF_000004665.1_Callithrix_jacchus-3.2
125	1305764	1305764	327079	GCF_000403515.1	UP000014071	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/515/GCF_000403515.1_ASM40351v1
126	45151	426418	45151	GCF_000149985.1	UP000245403	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/985/GCF_000149985.1_ASM14998v1
127	436017	436017	242159	GCF_000092065.1	UP000001568	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/065/GCF_000092065.1_ASM9206v1
128	660122	660122	140110	GCF_000151355.1	UP000005206	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/355/GCF_000151355.1_v2.0
129	9597	9597	9597	GCF_000258655.2	UP000240080	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/258/655/GCF_000258655.2_panpan1.1
130	30611	30611	30611	GCF_000181295.1	UP000005225	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/295/GCF_000181295.1_OtoGar3
131	8090	8090	8090	GCF_002234675.1	UP000001038	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/234/675/GCF_002234675.1_ASM223467v1
132	1522189	1522189	1522189	GCF_003144195.1	UP000245783	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/144/195/GCF_003144195.1_Cersp1
133	983644	983644	73501	GCF_000225605.1	UP000001610	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/605/GCF_000225605.1_CmilitarisCM01_v01
134	9785	9785	9785	GCF_000001905.1	UP000007646	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/905/GCF_000001905.1_Loxafr3.0
135	5486	5486	5486	GCF_003327735.1	UP000253472	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/327/735/GCF_003327735.1_ASM332773v1
136	176275	655819	176275	GCF_000280675.1	UP000235728	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/675/GCF_000280675.1_ASM28067v1
137	9305	9305	9305	GCF_000189315.1	UP000007648	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/315/GCF_000189315.1_Devil_ref_v7.0
138	645133	645133	31870	GCF_000149035.1	UP000008782	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/035/GCF_000149035.1_C_graminicola_M1_001_V1
139	109376	109376	3712	GCF_000695525.1	UP000032141	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/695/525/GCF_000695525.1_BOL
140	578459	578459	29898	GCF_001329695.1	UP000053890	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/329/695/GCF_001329695.1_Rhoba1_1
141	9615	9615	9612	GCF_000002285.3	UP000002254	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/285/GCF_000002285.3_CanFam3.1
142	6279	6279	6279	GCF_000002995.3	UP000006672	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/995/GCF_000002995.3_ASM299v2
143	284813	284813	6035	GCF_000091225.1	UP000000819	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/225/GCF_000091225.1_ASM9122v1
144	1460663	1460663	1460663	GCF_001642045.1	UP000077069	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/642/045/GCF_001642045.1_Parsp1
145	51240	51240	51240	GCF_001411555.1	UP000235220	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/411/555/GCF_001411555.1_wgs.5d
146	1182541	1182541	43229	GCF_000585585.1	UP000019484	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/585/GCF_000585585.1_Capr_coro_CBS_617_96_V1
147	9606	9606	9606	GCF_000001405.38	UP000005640	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.38_GRCh38.p12
148	3847	3847	3847	GCF_000004515.5	UP000008827	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/515/GCF_000004515.5_Glycine_max_v2.1
149	578458	578458	5334	GCF_000143185.1	UP000007431	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/185/GCF_000143185.1_v1.0
150	59463	59463	59463	GCF_000147115.1	UP000001074	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/115/GCF_000147115.1_Myoluc2.0
151	379508	379508	36914	GCF_000149685.1	UP000001996	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/685/GCF_000149685.1_ASM14968v1
152	7994	7994	7994	GCF_000372685.2	UP000018467	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/372/685/GCF_000372685.2_Astyanax_mexicanus-2.0
153	520822	520822	520822	GCF_001594045.1	UP000078540	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/045/GCF_001594045.1_Acol1.0
154	4432	4432	4432	GCF_000365185.1	UP000189703	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/365/185/GCF_000365185.1_Chinese_Lotus_1.1
155	322104	322104	4924	GCF_000209165.1	UP000002258	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/165/GCF_000209165.1_ASM20916v1
156	34720	34720	34720	GCF_001594115.1	UP000078541	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/594/115/GCF_001594115.1_Tsep1.0
157	692275	692275	85929	GCF_000320565.1	UP000016931	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/320/565/GCF_000320565.1_Septoria_musiva_SO2202_v1.0
158	86049	1279043	86049	GCF_000365165.1	UP000094526	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/365/165/GCF_000365165.1_Clad_carr_CBS_160_54_V1
159	426418	426418	45151	GCF_000149985.1	UP000001471	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/985/GCF_000149985.1_ASM14998v1
160	3562	3562	3562	GCF_002007265.1	UP000054095	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/265/GCF_002007265.1_ASM200726v1
